[admin.py:29] - 2024-02-17 12:53:24,729 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:559] - 2024-02-17 12:53:24,730 - ERROR - File must be run with admin privileges
[admin.py:70] - 2024-02-17 12:53:24,746 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\anand\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe', 'C:\\Users\\anand\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2024-02-17 12:53:24,746 - INFO - Running command 'C:\\Users\\anand\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe' - 'C:\\Users\\anand\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2024-02-17 12:53:27,038 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,178 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-02-17 12:53:27,179 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2024-02-17 12:53:54,914 - INFO - Process handle <PyHANDLE:1604> returned code 0
